address,times of input,sum of btc
3FjBTJ7hs8CzsbZPgUTntNdMvDqCaDxkCy,1,0.0
1Mm38Ei5XCFpup62xNbazkcXCiZmH1JzUQ,1,0.1
18zf2i5ErryniVzZeaLzStrfpidQgRcsHN,1,0.05
3C6d6WnJ5RYJsZWJsnKaJmDGEuJAqNygUs,1,0.06
1Fz9ReGcLhPcVnqZAGpfCW49gS1USad8Xi,1,27625.77
14Q1crjLwUgZCKAekswq5BkXui2PP5Uwxu,1,0.01
1AVZxU558zTGThJYt6UNFwR1BoYGLRchhp,1,0.1
1thnJrMdAq1tuZpAuBGtE7f9YqDZKGSUe,1,0.01
3BMEXNuARVQbDUdkvK18s45zAaFs3kEuDW,1,0.74
1MTAkuJr9XuH4t7DVUjGkCXN4GXLjgEEWR,1,0.09
1Ei5azGqNfkd5VExVDtrsthVmhqyA6GsEi,1,0.1
1K7WaGtDg43JtkF3rWM2ckkRBKqWbsaxzE,1,1.0
3AejxPCssJ8zRCb6f2ueu9frFfz3LVDfJb,1,0.14
1EmvvD6XJkJNs8VLXA1s842Q4r5jksy6yS,1,0.0
18z32Jv54SZUJ5L7Z9HAqdBEKdi92yqbrW,1,0.25
1NhYZtravVNMiqy47bFqQi23yMXLk7Pa7x,1,1.99
3FCaSgVAfnxSciEiePmR7j4Pnnacv6MozD,1,0.03
1PzPamvpniEeDdqVKM8oJDkeH2vSL7fGXz,1,0.05
1EQ9yGUFQHg6XyFhuH2BfW5vQybFkgb41q,1,0.23
34Am4CZ2X9SQsw7azuthJjzuXLtUJs5kS2,1,0.19
32toPWbLLtsaw55phJdPfQeR7s59aFXb3q,1,0.03
3BMEXhfqQiHpmUhLXGp4jryxuJKAvTQUS9,1,0.0
1AhZZZyLPHzktvWFZBKL2wicFFQqANYXSL,1,0.0
1FrWDX2ZgY9yqnZtVKn5CwVv58ALsptwyt,1,0.02
1KxkQshsY6xZzGVauWsDfy2ExenhQ2Rx4Y,1,0.27
1HFRhFFztWx8pTr1NHNm1AGNCnMXUFEQd7,1,0.03
39fJLp8iMsUVj9PwiiV5mM3ifrxoR9Jvzm,1,0.04
3KnGUFXM9c6uwr1qCwhY3X99Am6XEFTpMH,1,0.02
3BMEXog9iwfSMLB36me4HTHekGJTCbsWr9,1,0.05
348gsfekDqk1wfM4xoSx8sdqqUj7L7uoJd,1,0.1
1PkdVgqeUHtb4sdBXqLPDWe9KhycWueWph,1,2.99
33nVRU3z7wKzPWhK2qoKpftyEqBS5zLWYk,1,0.22
12BCN8fMJN1TZyWtHbGHsKBDo9VW2GqpWM,1,0.27
3KCyNmFZkKehy631ZzKbEcNgmVnMgW1drN,1,0.49
3NG9EYes8v8mL99A5ysyHRpPPGfdB8FzYj,1,0.03
3KxysXBKRt4w54kq5Xpafgx9Q3EcBqxKCp,1,0.19
1HnB6MhPLLbzu4QesEnsZKzwix5FSjHQCS,1,0.03
3BMn6E5YBZi9qkqMyuYeT6h6jS2sbnrZgD,1,0.02
174y3651oLGAzU1fami5uLDxrUGfaSUr96,1,0.09
3EV5EBeojYd6fknBgBcKmooB4qVgpFW7gZ,1,0.01
36Hp9AYWgJoqc6t2XpoE16gRpJX8CSkwGr,1,0.03
34Ef6kXgLDB4VzxkUtq5Z4TysV85UHCK5z,1,0.03
15PxC7YPDUUEwFa4dUWvBgh4U4VYbT2pZn,1,0.08
1H1iwify2Y5Ufib6J1eAC1xKS4qTqhu9EL,1,1.99
1MnwKmUjchZm1fyo6w79BKHe3biD6Mcp6k,1,0.02
3DjV6AG6xrWZf1wTwoXEYuAZ6RXvZumq8E,1,0.14
1PkGfDH8UBaxoRr2XFxNE4Xpm5ECx5AYif,1,0.0
1CPsKegdbUd2SSpKygGTQAqYaJSYryCAt,1,0.07
